title,box_off_num
용서는 없다,1214802.0272136421
아빠가 여자를 좋아해,1862881.392432647
하모니,834419.6022841637
의형제,2098652.8748651147
평행 이론,2175616.688843262
회오리 바람,54.324114791270716
경계도시 2,2292.7266608129753
이웃집 남자,28.597992027362636
아마존의 눈물 극장판,3380.378722430403
반가운 살인자,133.52945935993657
집 나온 남자들,128093.58106609191
베스트셀러,568347.526416357
작은 연못,258.8285599312665
경,2091.7280746491865
대한민국 1%,415460.16097710957
포화 속으로,1843262.9070927917
나쁜 놈이 더 잘 잔다,2281.6277193676883
맨발의 꿈,2102226.435664482
요술,116175.97237205888
마법천자문: 대마왕의 부활을 막아라,348601.94700421934
인플루언스,36.1274583065316
미스터 좀비,1864.0956970586083
김복남 살인사건의 전말,7850.736944736166
엄지아빠,102.31648611919873
탈주,52.5536616714817
해결사,876238.4039135374
할,1495.6549093815638
된장,1130410.1783072157
조금만 더 가까이,8556.353090071612
우리 만난 적 있나요,42.054217702241765
쩨쩨한 로맨스,777914.5023137104
용서,83258.7730572553
브라보! 재즈 라이프,3788.174439251792
카페 느와르,3663.9095561851686
오래된 인력거,3274.0182739402794
창피해,1973.5836719704396
"양 한 마리, 양 두 마리",1341.5781204629604
하얀 정글,2988.3618988537905
다슬이,2309.030824245221
REC 알이씨,14.728175399233898
량강도 아이들,50.96898865326099
티끌모아 로맨스,39663.94925265099
더 킥,757754.8373192241
커플즈,175025.9656020581
오늘,222639.48638389303
완득이,712594.1941161314
은어,43.0975290278794
고래를 찾는 자전거,49.67921352937581
도가니,35808.37710094582
겨울냄새,215.48223705088193
환타스틱 모던가야그머,1077.275562065865
블라인드,1392664.9648718745
링크,3710.249978143664
퀵,755208.0511396037
모비딕,1171916.134478542
굿바이 보이,116.31906283883838
종로의 기적,4607.506551576209
회초리,670805.5216908328
체포왕,965122.4542102859
세상에서 가장 아름다운 이별,3275345.961978247
나는 아빠다,568712.2114027645
수상한 고객들,4078104.2844801196
수상한 이웃들,4781.283051271541
돌아오는 길,408.37061469596694
우리 이웃의 범죄,7348.040011041477
엄마는 창녀다,26.788644624961517
